Region,Country,City,Month,Day,Year,AvgTemperature
Africa,Benin,Cotonou,2,19,2020,85.3
Africa,Benin,Cotonou,2,20,2020,86.1
Africa,Benin,Cotonou,2,21,2020,86.3
Africa,Benin,Cotonou,2,22,2020,86.2
Africa,Benin,Cotonou,2,23,2020,86.5
Africa,Benin,Cotonou,2,24,2020,86.8
Africa,Benin,Cotonou,2,25,2020,86.2
Africa,Benin,Cotonou,2,26,2020,85.4
Africa,Benin,Cotonou,2,27,2020,86.7
Africa,Benin,Cotonou,2,28,2020,84.8
Africa,Benin,Cotonou,2,29,2020,85.6
Africa,Benin,Cotonou,3,1,2020,86.9
Africa,Benin,Cotonou,3,2,2020,86.5
Africa,Benin,Cotonou,3,3,2020,82.5
Africa,Benin,Cotonou,3,4,2020,86.3
Africa,Benin,Cotonou,3,5,2020,86.4
Africa,Benin,Cotonou,3,6,2020,83.8
Africa,Benin,Cotonou,3,7,2020,83.6
Africa,Benin,Cotonou,3,8,2020,86.3
Africa,Benin,Cotonou,3,9,2020,86.5
Africa,Benin,Cotonou,3,10,2020,86.7
Africa,Benin,Cotonou,3,11,2020,86
Africa,Benin,Cotonou,3,12,2020,85.3
Africa,Benin,Cotonou,3,13,2020,85.9
Africa,Benin,Cotonou,3,14,2020,84.6
Africa,Benin,Cotonou,3,15,2020,84.8
Africa,Benin,Cotonou,3,16,2020,85.1
Africa,Benin,Cotonou,3,17,2020,85.2
Africa,Benin,Cotonou,3,18,2020,85
Africa,Benin,Cotonou,3,19,2020,84
Africa,Benin,Cotonou,3,20,2020,83.7
Africa,Benin,Cotonou,3,21,2020,83.5
Africa,Benin,Cotonou,3,22,2020,83.5
Africa,Benin,Cotonou,3,23,2020,82.6
Africa,Benin,Cotonou,3,24,2020,78.5
Africa,Benin,Cotonou,3,25,2020,80.3
Africa,Benin,Cotonou,3,26,2020,81.9
Africa,Benin,Cotonou,3,27,2020,82.8
Africa,Benin,Cotonou,3,28,2020,83.4
Africa,Benin,Cotonou,3,29,2020,83.6
Africa,Benin,Cotonou,3,30,2020,83.7
Africa,Benin,Cotonou,3,31,2020,84.1
Africa,Benin,Cotonou,4,1,2020,81.1
Africa,Benin,Cotonou,4,2,2020,83.3
Africa,Benin,Cotonou,4,3,2020,84.9
Africa,Benin,Cotonou,4,4,2020,82
Africa,Benin,Cotonou,4,5,2020,83.6
Africa,Benin,Cotonou,4,6,2020,84.6
Africa,Benin,Cotonou,4,7,2020,83.6
Africa,Benin,Cotonou,4,8,2020,85.5
Africa,Benin,Cotonou,4,9,2020,85.6
Africa,Benin,Cotonou,4,10,2020,83.3
Africa,Benin,Cotonou,4,11,2020,85
Africa,Benin,Cotonou,4,12,2020,86.3
Africa,Benin,Cotonou,4,13,2020,86.6
Africa,Benin,Cotonou,4,14,2020,86.7
Africa,Benin,Cotonou,4,15,2020,86.8
Africa,Benin,Cotonou,4,16,2020,87.1
Africa,Benin,Cotonou,4,17,2020,85.3
Africa,Benin,Cotonou,4,18,2020,86.2
Africa,Benin,Cotonou,4,19,2020,84.2
Africa,Benin,Cotonou,4,20,2020,85.2
Africa,Benin,Cotonou,4,21,2020,85
Africa,Benin,Cotonou,4,22,2020,81.6
Africa,Benin,Cotonou,4,23,2020,83.9
Africa,Benin,Cotonou,4,24,2020,84.2
Africa,Benin,Cotonou,4,25,2020,85
Africa,Benin,Cotonou,4,26,2020,79.6
Africa,Benin,Cotonou,4,27,2020,82.9
Africa,Benin,Cotonou,4,28,2020,81.7
Africa,Benin,Cotonou,4,29,2020,82
Africa,Benin,Cotonou,4,30,2020,81.4
Africa,Benin,Cotonou,5,1,2020,83.4
Africa,Benin,Cotonou,5,2,2020,86.2
Africa,Benin,Cotonou,5,3,2020,81.5
Africa,Benin,Cotonou,5,4,2020,82.5
Africa,Benin,Cotonou,5,5,2020,84.8
Africa,Benin,Cotonou,5,6,2020,85.9
Africa,Benin,Cotonou,5,7,2020,86.5
Africa,Benin,Cotonou,5,8,2020,86.4
Africa,Benin,Cotonou,5,9,2020,85.4
Africa,Benin,Cotonou,5,10,2020,81.9
Africa,Benin,Cotonou,5,11,2020,82.3
Africa,Benin,Cotonou,5,12,2020,84.6
Africa,Benin,Cotonou,5,13,2020,83.5
Africa,Central African Republic,Bangui,1,1,2020,80.9
Africa,Central African Republic,Bangui,1,2,2020,75.4
Africa,Central African Republic,Bangui,1,3,2020,74.1
Africa,Central African Republic,Bangui,1,4,2020,77.4
Africa,Central African Republic,Bangui,1,5,2020,76.8
Africa,Central African Republic,Bangui,1,6,2020,78.6
Africa,Central African Republic,Bangui,1,7,2020,78.2
Africa,Central African Republic,Bangui,1,8,2020,81.3
Africa,Central African Republic,Bangui,1,9,2020,80.9
Africa,Central African Republic,Bangui,1,10,2020,79
Africa,Central African Republic,Bangui,1,11,2020,73.7
Africa,Central African Republic,Bangui,1,12,2020,79.8
Africa,Central African Republic,Bangui,1,13,2020,82.2
Africa,Central African Republic,Bangui,1,14,2020,84.1
Africa,Central African Republic,Bangui,1,15,2020,82.9
Africa,Central African Republic,Bangui,1,16,2020,80.2
Africa,Central African Republic,Bangui,1,17,2020,77.5
Africa,Central African Republic,Bangui,1,18,2020,78.8
Africa,Central African Republic,Bangui,1,19,2020,81.1
Africa,Central African Republic,Bangui,1,20,2020,80.6
